nCI,Start_Time,End_Time,Duration_Minutes,Recommendation
357783981,2025-05-02 01:15:00,2025-05-02 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-05-02 03:45:00,2025-05-02 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-05-03 01:15:00,2025-05-03 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-05-03 04:00:00,2025-05-03 05:00:00,75,Shut Down (Low Utilization)
357783981,2025-05-06 01:00:00,2025-05-06 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-07 01:00:00,2025-05-07 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-08 01:15:00,2025-05-08 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-05-09 01:15:00,2025-05-09 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-05-09 03:45:00,2025-05-09 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-05-10 01:15:00,2025-05-10 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-05-10 04:00:00,2025-05-10 05:00:00,75,Shut Down (Low Utilization)
357783981,2025-05-13 01:00:00,2025-05-13 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-14 01:00:00,2025-05-14 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-15 01:15:00,2025-05-15 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-05-16 01:15:00,2025-05-16 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-05-16 03:45:00,2025-05-16 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-05-17 01:15:00,2025-05-17 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-05-17 04:00:00,2025-05-17 05:00:00,75,Shut Down (Low Utilization)
357783981,2025-05-20 01:00:00,2025-05-20 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-21 01:00:00,2025-05-21 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-22 01:15:00,2025-05-22 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-05-23 01:15:00,2025-05-23 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-05-23 03:45:00,2025-05-23 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-05-24 01:15:00,2025-05-24 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-05-24 04:00:00,2025-05-24 05:00:00,75,Shut Down (Low Utilization)
357783981,2025-05-27 01:00:00,2025-05-27 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-28 01:00:00,2025-05-28 05:30:00,285,Shut Down (Low Utilization)
357783981,2025-05-29 01:15:00,2025-05-29 05:30:00,270,Shut Down (Low Utilization)
357783981,2025-05-30 01:15:00,2025-05-30 02:45:00,105,Shut Down (Low Utilization)
357783981,2025-05-30 03:45:00,2025-05-30 05:15:00,105,Shut Down (Low Utilization)
357783981,2025-05-31 01:15:00,2025-05-31 02:30:00,90,Shut Down (Low Utilization)
357783981,2025-05-31 04:00:00,2025-05-31 05:00:00,75,Shut Down (Low Utilization)
