nCI,Start_Time,End_Time,Duration_Minutes,Recommendation
357783981,2025-05-02 03:00:00,2025-05-02 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-05-06 03:00:00,2025-05-06 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-05-09 03:00:00,2025-05-09 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-05-13 03:00:00,2025-05-13 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-05-16 03:00:00,2025-05-16 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-05-20 03:00:00,2025-05-20 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-05-23 03:00:00,2025-05-23 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-05-27 02:45:00,2025-05-27 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-05-30 03:00:00,2025-05-30 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-06-03 02:45:00,2025-06-03 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-06-06 03:00:00,2025-06-06 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-06-10 02:45:00,2025-06-10 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-06-13 03:00:00,2025-06-13 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-06-17 02:45:00,2025-06-17 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-06-20 03:00:00,2025-06-20 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-06-24 02:45:00,2025-06-24 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-06-27 03:00:00,2025-06-27 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-07-01 02:45:00,2025-07-01 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-07-04 02:45:00,2025-07-04 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-07-08 02:45:00,2025-07-08 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-07-09 03:00:00,2025-07-09 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-07-11 02:45:00,2025-07-11 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-07-15 02:45:00,2025-07-15 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-07-16 03:00:00,2025-07-16 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-07-18 02:45:00,2025-07-18 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-07-22 02:45:00,2025-07-22 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-07-23 03:00:00,2025-07-23 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-07-25 02:45:00,2025-07-25 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-07-29 02:45:00,2025-07-29 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-07-30 03:00:00,2025-07-30 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-08-01 02:45:00,2025-08-01 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-08-05 02:45:00,2025-08-05 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-08-06 03:00:00,2025-08-06 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-08-08 02:45:00,2025-08-08 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-08-12 02:45:00,2025-08-12 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-08-13 03:00:00,2025-08-13 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-08-15 02:45:00,2025-08-15 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-08-19 02:45:00,2025-08-19 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-08-20 03:00:00,2025-08-20 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-08-22 02:45:00,2025-08-22 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-08-26 02:45:00,2025-08-26 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-08-27 03:00:00,2025-08-27 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-08-29 02:45:00,2025-08-29 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-02 02:45:00,2025-09-02 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-03 03:00:00,2025-09-03 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-09-04 03:00:00,2025-09-04 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-09-05 02:45:00,2025-09-05 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-09 02:45:00,2025-09-09 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-10 03:00:00,2025-09-10 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-09-11 03:00:00,2025-09-11 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-09-12 02:45:00,2025-09-12 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-16 02:45:00,2025-09-16 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-17 02:45:00,2025-09-17 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-09-18 03:00:00,2025-09-18 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-09-19 02:45:00,2025-09-19 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-23 02:45:00,2025-09-23 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-24 02:45:00,2025-09-24 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-09-25 03:00:00,2025-09-25 03:15:00,30,Shut Down (Low Utilization)
357783981,2025-09-26 02:45:00,2025-09-26 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-09-30 02:45:00,2025-09-30 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-10-01 02:45:00,2025-10-01 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-10-02 03:00:00,2025-10-02 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-10-03 02:45:00,2025-10-03 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-10-07 02:30:00,2025-10-07 03:45:00,90,Shut Down (Low Utilization)
357783981,2025-10-08 02:45:00,2025-10-08 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-10-09 03:00:00,2025-10-09 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-10-10 02:45:00,2025-10-10 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-10-14 02:30:00,2025-10-14 03:45:00,90,Shut Down (Low Utilization)
357783981,2025-10-15 02:45:00,2025-10-15 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-10-16 03:00:00,2025-10-16 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-10-17 02:45:00,2025-10-17 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-10-21 02:30:00,2025-10-21 03:45:00,90,Shut Down (Low Utilization)
357783981,2025-10-22 02:45:00,2025-10-22 03:30:00,60,Shut Down (Low Utilization)
357783981,2025-10-23 03:00:00,2025-10-23 03:30:00,45,Shut Down (Low Utilization)
357783981,2025-10-24 02:45:00,2025-10-24 03:45:00,75,Shut Down (Low Utilization)
357783981,2025-10-28 02:30:00,2025-10-28 03:45:00,90,Shut Down (Low Utilization)
