nCI,Model,KPI,R2_Score,LastTimestamp
357783981,LSTM,DL_Prb_Utilization,0.8093338012695312,2025-05-01 23:45:00
357783979,LSTM,DL_Prb_Utilization,0.812762439250946,2025-05-01 23:45:00
357783980,LSTM,DL_Prb_Utilization,0.8203292489051819,2025-05-01 23:45:00
358531244,LSTM,DL_Prb_Utilization,0.8149186372756958,2025-05-01 23:45:00
358531245,LSTM,DL_Prb_Utilization,0.8200832605361938,2025-05-01 23:45:00
358531243,LSTM,DL_Prb_Utilization,0.8113290667533875,2025-05-01 23:45:00
357783981,LSTM,Avg_UE_Number,0.8013530969619751,2025-05-01 23:45:00
357783979,LSTM,Avg_UE_Number,0.8109451532363892,2025-05-01 23:45:00
357783980,LSTM,Avg_UE_Number,0.8062653541564941,2025-05-01 23:45:00
358531244,LSTM,Avg_UE_Number,0.7952654361724854,2025-05-01 23:45:00
358531245,LSTM,Avg_UE_Number,0.8074759244918823,2025-05-01 23:45:00
358531243,LSTM,Avg_UE_Number,0.8052646517753601,2025-05-01 23:45:00
